tau_hat,benefit_$,cost_$
110.43121828887756,138.03902286109695,2.0
106.53352089117205,133.16690111396505,2.0
88.25339835536074,110.31674794420093,2.0
70.90421230159774,88.63026537699717,2.0
61.44983857013676,76.81229821267095,2.0
59.52250713078511,74.40313391348138,2.0
59.34877863480179,74.18597329350223,2.0
59.171676751132686,73.96459593891586,2.0
57.64162520308453,72.05203150385566,2.0
57.226801582081656,71.53350197760207,2.0
56.63017974337473,70.78772467921841,2.0
53.84564920769689,67.30706150962111,2.0
53.37138363770148,66.71422954712685,2.0
52.613565595178265,65.76695699397283,2.0
52.26107206850169,65.32634008562711,2.0
51.96151805665672,64.9518975708209,2.0
51.35955800380076,64.19944750475095,2.0
50.71578685992155,63.394733574901935,2.0
49.714658873083614,62.143323591354516,2.0
49.24035716544563,61.55044645680704,2.0
48.93398744668352,61.167484308354396,2.0
48.05409755747794,60.067621946847424,2.0
47.96134417961415,59.95168022451769,2.0
47.18271044202231,58.97838805252789,2.0
46.92931052300168,58.6616381537521,2.0
46.58640118690839,58.23300148363549,2.0
46.44118720502935,58.051484006286685,2.0
46.20678708795353,57.75848385994191,2.0
44.65940354397302,55.824254429966274,2.0
43.52441196716986,54.40551495896233,2.0
41.11923489358812,51.39904361698515,2.0
41.00029210641924,51.25036513302405,2.0
37.0543780093085,46.317972511635624,2.0
36.205920266865085,45.25740033358136,2.0
35.374948552423945,44.21868569052993,2.0
34.51009267523094,43.13761584403868,2.0
34.393412086313496,42.99176510789187,2.0
33.91371041405532,42.39213801756915,2.0
33.91371041405532,42.39213801756915,2.0
32.93632959382138,41.17041199227672,2.0
32.93632959382138,41.17041199227672,2.0
32.93632959382138,41.17041199227672,2.0
32.93632959382138,41.17041199227672,2.0
32.93333786830076,41.16667233537595,2.0
32.71563535174185,40.89454418967732,2.0
32.620979990194286,40.77622498774286,2.0
32.620979990194286,40.77622498774286,2.0
32.53709472405925,40.67136840507406,2.0
32.14970903152574,40.18713628940717,2.0
31.645140317105355,39.55642539638169,2.0
31.645140317105355,39.55642539638169,2.0
31.343269887099076,39.17908735887384,2.0
30.92087718615727,38.65109648269659,2.0
30.92087718615727,38.65109648269659,2.0
30.4095338414338,38.01191730179225,2.0
30.135355659539247,37.66919457442406,2.0
30.135355659539247,37.66919457442406,2.0
29.7412829260697,37.17660365758712,2.0
28.843336475776574,36.054170594720716,2.0
28.005408885804137,35.00676110725517,2.0
27.831653606762387,34.789567008452984,2.0
27.679210754895607,34.59901344361951,2.0
27.44554629603733,34.306932870046666,2.0
27.240185804987565,34.05023225623446,2.0
27.213570308890706,34.01696288611338,2.0
27.213570308890706,34.01696288611338,2.0
27.213570308890706,34.01696288611338,2.0
27.08676629332664,33.8584578666583,2.0
26.973674344345245,33.717092930431555,2.0
26.72225550859458,33.40281938574322,2.0
26.6963392536487,33.370424067060874,2.0
26.591128061136487,33.23891007642061,2.0
26.54113977642243,33.17642472052804,2.0
26.529091178081256,33.16136397260157,2.0
26.446134748426186,33.05766843553273,2.0
26.39430420660241,32.99288025825301,2.0
26.33284400595348,32.91605500744185,2.0
26.326092145053327,32.90761518131666,2.0
26.307916924923457,32.88489615615432,2.0
26.27956502404815,32.84945628006019,2.0
26.258004405699552,32.82250550712444,2.0
26.24872635671976,32.8109079458997,2.0
26.24872635671976,32.8109079458997,2.0
26.20205855847881,32.75257319809852,2.0
26.18370072731183,32.729625909139784,2.0
26.181719029136627,32.727148786420784,2.0
26.16034037737809,32.70042547172261,2.0
26.15492658489324,32.69365823111655,2.0
26.14482852463675,32.68103565579594,2.0
26.1383555530014,32.67294444125175,2.0
26.128745794261757,32.660932242827194,2.0
26.119273063709105,32.649091329636384,2.0
26.10150879825365,32.62688599781706,2.0
26.08672044279175,32.60840055348969,2.0
26.066897880700303,32.58362235087538,2.0
26.045089208620304,32.55636151077538,2.0
26.0398946474046,32.54986830925575,2.0
25.97063053736169,32.46328817170211,2.0
25.96619773360568,32.4577471670071,2.0
25.951255555078127,32.43906944384766,2.0
25.931694491622757,32.414618114528444,2.0
25.904054445428205,32.380068056785255,2.0
25.85818692078753,32.32273365098442,2.0
25.84958461748777,32.311980771859716,2.0
25.84315862659064,32.3039482832383,2.0
25.82440806976386,32.280510087204824,2.0
25.780261619184465,32.22532702398058,2.0
25.765538858228563,32.206923572785705,2.0
25.7523355016498,32.19041937706225,2.0
25.74529611224082,32.18162014030102,2.0
25.70782204989505,32.13477756236881,2.0
25.692687433962057,32.11585929245257,2.0
25.679228642509177,32.09903580313647,2.0
25.67754809937502,32.096935124218774,2.0
25.67041498600459,32.08801873250574,2.0
25.623142628501064,32.02892828562633,2.0
25.623142628501064,32.02892828562633,2.0
25.61139570417067,32.014244630213334,2.0
25.60195809098665,32.00244761373331,2.0
25.58285989363267,31.978574867040837,2.0
25.574793410416813,31.968491763021017,2.0
25.571208045730486,31.964010057163108,2.0
25.5698064221558,31.96225802769475,2.0
25.55890237526538,31.948627969081723,2.0
25.557611625311747,31.947014531639685,2.0
25.509224479690488,31.88653059961311,2.0
25.50065381447229,31.875817268090362,2.0
25.488724721534748,31.860905901918436,2.0
25.48290418914698,31.853630236433723,2.0
25.4689995546488,31.836249443311,2.0
25.4689995546488,31.836249443311,2.0
25.44379255600208,31.8047406950026,2.0
25.43678479211921,31.795980990149012,2.0
25.43678479211921,31.795980990149012,2.0
25.409296615594368,31.76162076949296,2.0
25.40027570587197,31.75034463233996,2.0
25.39113285637061,31.73891607046326,2.0
25.39113285637061,31.73891607046326,2.0
25.37878328643796,31.723479108047453,2.0
25.376712792407385,31.720890990509233,2.0
25.36039706764391,31.700496334554884,2.0
25.35121351300891,31.68901689126114,2.0
25.322461045928904,31.65307630741113,2.0
25.24222448413581,31.552780605169765,2.0
25.24222448413581,31.552780605169765,2.0
25.228196474383346,31.53524559297918,2.0
25.221938516484567,31.52742314560571,2.0
