payment_type,n,mean_tau,p90_tau,top10_share
credit_card,83755,0.4640312029730534,7.094792574539135,0.09469285415796072
voucher,2836,-0.42546494589280465,7.7105649187277425,0.11530324400564175
debit_card,1662,-0.563404493815326,7.039306845484507,0.09566787003610108
boleto,22517,-1.163575524277662,7.844984953037687,0.11813296620331305
